cve_municipios,cve_estados,nombre
1,1,Aguascalientes
1,2,Ensenada
1,3,Comondu
1,4,Calkini
1,5,Abasolo
1,6,Armeria
1,7,Acacoyagua
1,8,Ahumada
1,9,Azcapotzalco
1,10,Canatlan
1,11,Abasolo
1,12,Acapulco De Juarez
1,13,Acatlan
1,14,Acatic
1,15,Acambay
1,16,Acuitzio
1,17,Amacuzac
1,18,Acaponeta
1,19,Abasolo
1,20,Abejones
1,21,Acajete
1,22,Amealco De Bonfil
1,23,Cozumel
1,24,Ahualulco
1,25,Ahome
1,26,Aconchi
1,27,Balancan
1,28,Abasolo
1,29,Amaxac De Guerrero
1,30,Acajete
1,31,Abala
1,32,Apozol
2,1,Asientos
2,2,Mexicali
2,3,Mulege
2,4,Campeche
2,5,Acuña
2,6,Colima
2,7,Acala
2,8,Aldama
2,9,Coyoacan
2,10,Canelas
2,11,Acambaro
2,12,Ahuacuotzingo
2,13,Acaxochitlan
2,14,Acatlan De Juarez
2,15,Acolman
2,16,Aguililla
2,17,Atlatlahucan
2,18,Ahuacatlan
2,19,Agualeguas
2,20,Acatlan De Perez Figueroa
2,21,Acateno
2,22,Pinal De Amoles
2,23,Felipe Carrillo Puerto
2,24,Alaquines
2,25,Angostura
2,26,Agua Prieta
2,27,Cardenas
2,28,Aldama
2,29,Apetatitlan De Antonio Carvajal
2,30,Acatlan
2,31,Acanceh
2,32,Apulco
3,1,Calvillo
3,2,Tecate
3,3,La Paz
3,4,Carmen
3,5,Allende
3,6,Comala
3,7,Acapetahua
3,8,Allende
3,9,Cuajimalpa De Morelos
3,10,Coneto De Comonfort
3,11,Allende
3,12,Ajuchitlan Del Progreso
3,13,Actopan
3,14,Ahualulco De Mercado
3,15,Aculco
3,16,Alvaro Obregon
3,17,Axochiapan
3,18,Amatlan De Cañas
3,19,Los Aldamas
3,20,Asuncion Cacalotepec
3,21,Acatlan
3,22,Arroyo Seco
3,23,Isla Mujeres
3,24,Aquismon
3,25,Badiraguato
3,26,Alamos
3,27,Centla
3,28,Altamira
3,29,Atlangatepec
3,30,Acayucan
3,31,Akil
3,32,Atolinga
4,1,Cosio
4,2,Tijuana
4,3,Los Cabos
4,4,Champoton
4,5,Arteaga
4,6,Coquimatlan
4,7,Altamirano
4,8,Aquiles Serdan
4,9,Gustavo A. Madero
4,10,Cuencame
4,11,Apaseo El Alto
4,12,Alcozauca De Guerrero
4,13,Agua Blanca De Iturbide
4,14,Amacueca
4,15,Almoloya De Alquisiras
4,16,Angamacutiro
4,17,Ayala
4,18,Compostela
4,19,Allende
4,20,Asuncion Cuyotepeji
4,21,Acatzingo
4,22,Cadereyta De Montes
4,23,Othon P. Blanco
4,24,Armadillo De Los Infante
4,25,Concordia
4,26,Altar
4,27,Centro
4,28,Antiguo Morelos
4,29,Altzayanca
4,30,Actopan
4,31,Baca
4,32,Benito Juarez
5,1,Jesus Maria
5,2,Playas De Rosarito
5,3,Loreto
5,4,Hecelchakan
5,5,Candela
5,6,Cuauhtemoc
5,7,Amatan
5,8,Ascension
5,9,Iztacalco
5,10,Durango
5,11,Apaseo El Grande
5,12,Alpoyeca
5,13,Ajacuba
5,14,Amatitan
5,15,Almoloya De Juarez
5,16,Angangueo
5,17,Coatlan Del Rio
5,18,Huajicori
5,19,Anahuac
5,20,Asuncion Ixtaltepec
5,21,Acteopan
5,22,Colon
5,23,Benito Juarez
5,24,Cardenas
5,25,Cosala
5,26,Arivechi
5,27,Comalcalco
5,28,Burgos
5,29,Apizaco
5,30,Acula
5,31,Bokoba
5,32,Calera
6,1,Pabellon De Arteaga
6,4,Hopelchen
6,5,Castaños
6,6,Ixtlahuacan
6,7,Amatenango De La Frontera
6,8,Bachiniva
6,9,Iztapalapa
6,10,General Simon Bolivar
6,11,Atarjea
6,12,Apaxtla
6,13,Alfajayucan
6,14,Ameca
6,15,Almoloya Del Rio
6,16,Apatzingan
6,17,Cuautla
6,18,Ixtlan Del Rio
6,19,Apodaca
6,20,Asuncion Nochixtlan
6,21,Ahuacatlan
6,22,Corregidora
6,23,Jose Maria Morelos
6,24,Catorce
6,25,Culiacan
6,26,Arizpe
6,27,Cunduacan
6,28,Bustamante
6,29,Calpulalpan
6,30,Acultzingo
6,31,Buctzotz
6,32,Cañitas De Felipe Pescador
7,1,Rincon De Romos
7,4,Palizada
7,5,Cuatrocienegas
7,6,Manzanillo
